>:],happy
:-),happy
:),happy
:o),happy
:],happy
:3,happy
:c),happy
:>,happy
=],happy
8),happy
=),happy
:},happy
:^),happy
>:D,laugh
:-D,laugh
:D,laugh
8-D,laugh
8D,laugh
x-D,laugh
xD,laugh
X-D,laugh
XD,laugh
=-D,laugh
=D,laugh
=-3,laugh
=3,laugh
:'(,cry
;*(,cry
T.T,cry
T_T,cry
Y.Y,cry
Y_Y,cry
>:[,sad
:-(,sad
:(,sad
:-c,sad
:c,sad
:-<,sad
:<,sad
:-[,sad
:[,sad
:{,sad
>.>,sad
<.<,sad
>.<,sad
D:<,sad
D:,sad
D8,horror
D;,sad
D=,horror
DX,sad
v.v,sad
D-':,sad
:-9,licking chops
>;],wink
;-),wink
;),wink
*-),wink
*),wink
;-],wink
;],wink
;D,wink
>:P,playful
:-P,playful
:P,playful
X-P,playful
x-p,playful
:-p,playful
:p,playful
=p,playful
:b,playful
:b,playful
>:o,shock
>:O,shock
:-O,shock
:O,shock
o_O,shock
>:\,annoyed
>:/,annoyed
:-/,annoyed
:-.,annoyed
:/,annoyed
:\,annoyed
=/,annoyed
=\,annoyed
:S,annoyed
:|,grim
:)~,drooling
:-)>....,drooling
=F,drooling
>:X,embarrassed
:-X,embarrassed
:X,embarrassed
:-#,embarrassed
:#,embarrassed
:$,embarrassed
O:-),angel
0:-3,angel
0:3,angel
O:-),angel
O:),angel
3:),devil
3;),devil
>:),evil
>;),evil
>:-),evil
>B],shades
B),shades
B-),shades
8),shades
8-),shades
</3,broken heart
"\,,/",rock on
\m/,rock on
o/\o,high five
^5,high five
>_>^ ^<_<,high five
@}-;-'--,rose
( ),hug
(y),good
(n),bad
d:-),cap
qB-),backwards cap
:-*,kiss
:*,kiss
D:<,angry
>:(,angry
>:-C,angry
>:C,angry
>:O,angry
D-:<,angry
>:-(,angry
:-@,angry
<3,love
<33333333,love
\o/,joy
*\o/*,joy
o/*\o,high five
\o o/,greeting
\(:|),salute
O7,salute
:&,fail
:u,gape
:3,coyness
>.<,frustration
> <,frustration
-.-,annoyance
d^_^b,listen to music
d-_-b,listen to music
(^_^),smile
(^-^),smile
(^ ^),smile
(^.^),smile
^_^,smile
'_',smile
(~_^),wink
(^_~),wink
~.^,wink
^.~,wink
(>_<),angry
(>.<),angry
(>_>),annoyed
(¬_¬),annoyed
(-_-),upset
(^o^),laugh
(^3^),kiss
(^_^'),nervous
^_^_^'),nervous
^^",nervous
^^^_.^'),nervous
^^_^^;,nervous
^&^^.^;&,nervous
^^^;,nervous
^^^7,nervous
d(>w<)b,good
q(;^;)p,bad
9(x.x)9,shaking fist
(;.;)9,shaking fist
(;_;),cry
(T_T),cry
(T~T),cry
(ToT),cry
(T^T),cry
(._.),disappointed
"(,_,)",disappointed
(X_X),dead
x_x,dead
0.o,shock
O_o,shock
@_@,shock
O_O,shock
ಠ_ಠ,shock
ಠ_ರೃ,shock
(*_*),shock
^///^,blush
>///<,blush
>///>,blush
o///o,blush
-///-,blush
=///=,blush
_|_,flip off
(-.-),flip off
_|_,flip off
t(>.<t),flip off
(V)!_!(V),crab
ʘ‿ʘ,innocent face
\m/*.*\m/,rocker smiley
O?O,question
&_&,eye roll
=^_^=,happy
=>.>=,blushing
=<_<=,blushing
=>.<=,blushing
0-0,sweet
(^^^),shark
(\_/),bunny ears
c.c,disapproval
C.C,disapproval
x_O,punched
O_x,punched
O|¯|_,fall-down gag
OTL,fall-down gag
orz,fall-down gag
e.e,creep out
O.e,creep out
O.e,creep out
d'-',good
d'_',gig
d'-'b,listen to music
d'_'b,listen to music
^>.>^,irony
^<.<^,irony
^>_>^,irony
^<_<^,irony
:->,smile
>:->,devil
>;->,devil and wink
:-I,indifferent smile
(-:,smile
:*),drunk
:'-(,cry
:'-),happy
(:-),bald
:-@,scream
:-0,no yelling
:-S,incoherent statement
8-O,shock
~~:-(,stupid
:-&,embarrassed
:-",whistling smile
|-I,asleep
|-o,bored
|-O,yawn
-:-),punk rocker
-:-(,punk rockers
=:-),punk rocker
=:-(,punk rockers
:-Q,smoke
:-?,smoke
:-{,mustache
:-{),mustache
{:-),wears a toupee
]:->,devil
+-:-),pope
;^),smirking
#:-),messy hair
$-),money
%-6,braindead
&-|,cry
&-e,disappointed
(:-(,sad
*<:-),santa claus
*<:-)>,santa
*<|:-),santa
+:-),priest
+<:-|,monk
",-)",wink
",-}",wink
:#),drunk
:*,kisses
":,(",cry
:-'|,flu
:-(*),sick
:-)',drool
:-))),fat
:-)-o,doctor
:-----},liar
:-|,disgusted
:-|:-|,deja'vu
:-}X,smile
:-~),flu
:-6,spicy
:-7,wry statement
:-8(,condescending
:-c,unhappy
:-C,bummed
:-TM,lawyer
:-V,shouting smile
:@,shock
:^D,talk show
:~(~~,cry
:~-(,crying
:~i,smoking
:C,shock
:I,wonder
:Q,question
>>:-),devil
>>:-<<,mad
@:i,genie
^o,snoring
{@:)},genie
|I,asleep
~:o,baby
8 :-),wizard
8-#,dead
8<:-),wizard
C=:-),chef
d:-),baseball
o-<:-{{{,santa
P-(,pirate smiley
P-),pirate
X-(,died
